I0227 21:34:48.791453       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 21:34:48.795201       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 21:34:48.798181       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 21:34:48.798315       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 21:34:48.798382       1 filter_out_schedulable.go:82] No schedulable pods
I0227 21:34:48.798463       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 21:34:48.798534       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 21:34:48.798602       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 21:34:48.798782       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 21:34:48.798850       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 21:34:48.798936       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 21:34:48.799182       1 scale_up.go:364] Upcoming 0 nodes
I0227 21:34:48.800651       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.800755       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.800859       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.800981       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.801068       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.801400       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 21:34:48.801567       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 21:34:48.801709       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
